climb_id,route_id,customer_id,climb_date,completed
1,206,183,2024-03-13,No
2,384,718,2023-02-07,No
3,87,756,2023-05-22,Yes
4,364,656,2024-06-17,Yes
5,327,214,2023-06-04,Yes
6,277,725,2024-04-10,Yes
7,209,486,2024-05-06,No
8,127,434,2024-01-08,No
9,316,739,2023-09-17,Yes
10,255,467,2024-06-06,Yes
11,311,782,2024-06-11,Yes
12,125,729,2023-12-15,Yes
13,363,244,2024-02-12,No
14,201,270,2024-04-26,Yes
15,367,111,2023-02-28,Yes
16,324,109,2023-11-06,Yes
17,344,439,2024-04-17,Yes
18,351,678,2024-05-14,No
19,268,247,2024-06-30,Yes
20,108,378,2024-02-05,Yes
21,136,755,2023-04-25,Yes
22,17,785,2023-12-13,No
23,255,53,2024-06-25,Yes
24,299,342,2023-11-18,No
25,9,90,2023-07-30,Yes
26,17,767,2023-05-29,Yes
27,144,452,2023-07-10,Yes
28,51,296,2024-02-07,Yes
29,291,427,2023-04-26,No
30,52,115,2023-12-17,Yes
31,333,437,2023-12-09,Yes
32,12,703,2023-05-25,Yes
33,371,795,2023-10-03,Yes
34,94,153,2024-04-18,Yes
35,195,485,2024-03-11,Yes
36,229,11,2023-11-17,No
37,376,196,2023-12-31,Yes
38,397,269,2023-01-20,No
39,269,288,2023-02-18,Yes
40,156,660,2023-07-25,No
41,121,529,2023-07-29,Yes
42,303,535,2023-06-12,Yes
43,348,86,2023-12-22,No
44,292,487,2023-11-29,Yes
45,45,480,2024-01-10,Yes
46,381,86,2023-05-07,No
47,112,11,2023-01-02,No
48,125,194,2024-06-13,No
49,82,400,2024-02-27,Yes
50,254,606,2023-09-07,Yes
51,185,165,2023-01-24,No
52,343,332,2023-04-19,Yes
53,347,429,2023-01-29,Yes
54,130,672,2023-09-19,Yes
55,42,161,2023-04-29,Yes
56,104,555,2023-10-22,Yes
57,306,692,2023-02-03,No
58,31,249,2024-01-24,No
59,338,626,2023-02-25,Yes
60,244,328,2023-06-19,No
61,215,98,2023-12-19,Yes
62,80,696,2023-02-28,No
63,154,269,2024-06-19,Yes
64,25,301,2023-04-15,Yes
65,35,449,2023-01-20,No
66,111,116,2024-01-01,No
67,214,458,2023-07-28,Yes
68,329,506,2024-06-13,Yes
69,290,13,2023-02-17,Yes
70,173,693,2023-07-14,No
71,23,225,2023-11-21,No
72,362,111,2023-10-25,No
73,91,374,2023-09-24,Yes
74,74,529,2023-07-29,Yes
75,272,562,2024-04-01,Yes
76,4,505,2023-03-17,Yes
77,182,256,2023-10-02,No
78,351,552,2023-11-10,No
79,68,427,2024-04-28,No
80,114,308,2023-06-04,Yes
81,309,555,2023-05-30,Yes
82,398,80,2024-03-19,Yes
83,336,691,2023-06-01,No
84,111,321,2023-01-30,Yes
85,339,444,2023-10-13,No
86,378,24,2024-02-20,No
87,131,788,2023-03-25,No
88,298,433,2024-02-21,Yes
89,195,14,2023-07-13,Yes
90,178,641,2024-06-02,Yes
91,276,86,2023-02-17,No
92,183,757,2023-06-22,Yes
93,194,693,2023-04-25,Yes
94,212,383,2024-05-05,Yes
95,53,741,2023-06-02,No
96,19,416,2023-05-26,Yes
97,373,721,2024-01-21,Yes
98,380,158,2024-06-03,Yes
99,373,104,2023-11-19,No
100,370,711,2024-05-30,Yes
101,33,20,2023-12-26,Yes
102,111,188,2023-04-18,Yes
103,354,588,2024-02-12,Yes
104,284,271,2023-06-12,No
105,304,57,2023-06-18,Yes
106,309,527,2024-03-18,No
107,184,148,2023-05-22,No
108,63,721,2023-07-02,Yes
109,142,298,2024-06-23,No
110,371,110,2023-04-04,No
