visit_id,customer_id,visit_date,check_in_time,check_out_time,visit_type
1,592,2023-11-29,20:00:00,19:00:00,Climbing
2,7,2024-06-03,11:00:00,09:00:00,Climbing
3,272,2024-06-25,09:00:00,13:00:00,Climbing
4,739,2023-09-22,12:00:00,20:00:00,Climbing
5,16,2023-09-14,13:00:00,11:00:00,Climbing
6,424,2023-12-19,19:00:00,16:00:00,Class
7,524,2023-10-31,11:00:00,09:00:00,Climbing
8,753,2023-12-13,18:00:00,11:00:00,Climbing
9,21,2024-04-23,18:00:00,18:00:00,Class
10,690,2024-02-13,06:00:00,18:00:00,Climbing
11,228,2023-09-29,20:00:00,09:00:00,Class
12,785,2023-09-10,13:00:00,12:00:00,Climbing
13,288,2023-12-16,16:00:00,22:00:00,Class
14,134,2023-09-07,06:00:00,10:00:00,Climbing
15,283,2023-09-08,14:00:00,11:00:00,Class
16,404,2023-01-09,07:00:00,16:00:00,Climbing
17,665,2023-04-06,16:00:00,20:00:00,Climbing
18,66,2023-09-25,15:00:00,22:00:00,Climbing
19,649,2024-03-25,11:00:00,17:00:00,Climbing
20,604,2023-06-02,13:00:00,18:00:00,Climbing
21,437,2023-10-13,10:00:00,12:00:00,Climbing
22,259,2023-07-08,19:00:00,23:00:00,Climbing
23,103,2023-02-27,07:00:00,16:00:00,Climbing
24,567,2024-06-08,10:00:00,23:00:00,Climbing
25,769,2024-04-12,06:00:00,23:00:00,Climbing
26,101,2023-02-12,13:00:00,23:00:00,Climbing
27,198,2024-01-29,13:00:00,20:00:00,Climbing
28,226,2023-07-10,19:00:00,12:00:00,Climbing
29,463,2024-06-28,07:00:00,17:00:00,Climbing
30,237,2023-06-15,11:00:00,22:00:00,Climbing
31,26,2023-05-11,16:00:00,16:00:00,Climbing
32,121,2023-11-07,13:00:00,15:00:00,Climbing
33,506,2024-04-01,15:00:00,08:00:00,Climbing
34,182,2023-04-16,18:00:00,20:00:00,Climbing
35,711,2024-01-24,13:00:00,10:00:00,Climbing
36,767,2023-02-03,17:00:00,12:00:00,Climbing
37,634,2024-05-17,19:00:00,19:00:00,Climbing
38,543,2023-02-14,20:00:00,10:00:00,Class
39,315,2024-05-15,19:00:00,17:00:00,Climbing
40,797,2023-09-26,12:00:00,23:00:00,Climbing
41,618,2023-09-03,08:00:00,23:00:00,Climbing
42,736,2024-06-16,18:00:00,08:00:00,Climbing
43,273,2024-06-25,19:00:00,21:00:00,Climbing
44,232,2023-12-22,20:00:00,18:00:00,Climbing
45,420,2023-03-11,17:00:00,09:00:00,Climbing
46,768,2023-10-04,19:00:00,20:00:00,Climbing
47,442,2023-10-17,16:00:00,09:00:00,Climbing
48,496,2023-10-09,09:00:00,23:00:00,Climbing
49,24,2023-11-08,06:00:00,11:00:00,Climbing
50,109,2023-01-11,14:00:00,13:00:00,Climbing
